L_over_rs,Re_Mw,Im_Mw
0.0,623820.7506985932,-623820.750698472
0.01,213880.9502935642,-213880.9502932105
0.02,320814.47701883875,-320814.477018603
0.03,427568.42811656365,-427568.42811638664
0.05,500595.23735732975,-500595.23735717847
