t,psi
20.0,1.4945338524781425e-05
20.5,-0.08534690431758332
21.0,-0.16398033766574685
21.5,-0.23537119778892418
22.0,-0.2990491932187989
22.5,-0.354594702723754
23.0,-0.4016457060022881
23.5,-0.4399047905508364
24.0,-0.46914616005867354
24.5,-0.4892225445549635
25.0,-0.5000718871629539
25.5,-0.5017236568961099
26.0,-0.49430461192429415
26.5,-0.47804381390454437
27.0,-0.45327667236995134
27.5,-0.4204477801455014
28.0,-0.3801122879049208
28.5,-0.3329355600830635
29.0,-0.279690857311135
29.5,-0.22125480424823804
30.0,-0.1586004279170785
30.5,-0.09278759190857701
31.0,-0.024950707144584566
31.5,0.043716329301034286
32.0,0.11197792990281032
32.5,0.1785772097821153
33.0,0.2422587289798857
33.5,0.3017932166894644
34.0,0.35600378797034926
34.5,0.4037930435526977
35.0,0.4441703322395381
35.5,0.4762783601153491
36.0,0.499418258445351
36.5,0.5130721796980066
37.0,0.5169224846802543
37.5,0.5108666182067263
38.0,0.495026849139868
38.5,0.46975417396771196
39.0,0.43562584976426016
39.5,0.3934362281677536
40.0,0.344180800006342
40.5,0.28903362100589486
41.0,0.22931856113474625
41.5,0.16647509053580328
42.0,0.1020195697973534
42.5,0.0375032376364275
43.0,-0.025531728114342546
43.5,-0.08559657132687917
44.0,-0.14129916895290787
44.5,-0.19138452365490288
45.0,-0.2347710407471394
45.5,-0.270581233524356
46.0,-0.2981657052204862
46.5,-0.31711951409630784
47.0,-0.32729032843352307
47.5,-0.32877810612568126
48.0,-0.32192637324123097
48.5,-0.3073055109840008
49.0,-0.2856887748880775
49.5,-0.2580220491599492
50.0,-0.22538857022721787
50.5,-0.1889700269237976
51.0,-0.15000555369229004
51.5,-0.10975017451870869
52.0,-0.06943422931532339
52.5,-0.030225224724286473
53.0,0.006806595625806839
53.5,0.04071786151044019
54.0,0.07071599970777978
54.5,0.09617686109991881
55.0,0.11665571200887251
55.5,0.1318915212183853
56.0,0.14180473345564754
56.5,0.14648895761549766
57.0,0.14619720494962818
57.5,0.14132348201389286
58.0,0.13238067068614046
58.5,0.11997571052057637
59.0,0.10478313668428206
59.5,0.08751802127096935
60.0,0.06890932017041408
60.5,0.049674546585319855
61.0,0.030496581532608643
61.5,0.012003297807522422
62.0,-0.005249476091465293
62.5,-0.020791284609812125
63.0,-0.034246460110825605
63.5,-0.045339574958068875
64.0,-0.05389702862576278
64.5,-0.05984500016915541
65.0,-0.06320411021253625
65.5,-0.06408122903041694
66.0,-0.06265893654414492
66.5,-0.05918318540089823
67.0,-0.05394973998202275
67.5,-0.047289963313605125
68.0,-0.03955650228783523
68.5,-0.031109381828739496
69.0,-0.02230296359785107
69.5,-0.013474157798030125
70.0,-0.004932201027288019
70.5,0.0030497675860246937
71.0,0.010241182220272442
71.5,0.016458509542678586
72.0,0.02156769954772796
72.5,0.02548470669579541
73.0,0.028174221743556015
73.5,0.0296468063186775
74.0,0.029954662855404563
74.5,0.0291863014499031
75.0,0.027460382451947297
75.5,0.024919019544525363
76.0,0.02172082341203865
76.5,0.01803395191412707
77.0,0.014029410270127367
77.5,0.00987481560631874
78.0,0.005728805926059081
78.5,0.0017362357806366428
79.0,-0.0019757387205749702
79.5,-0.005300622857320332
80.0,-0.00815457029193922
80.5,-0.010477406570650112
81.0,-0.012232734464754445
81.5,-0.01340719498563699
82.0,-0.014008981402087818
82.5,-0.0140657216688986
83.0,-0.013621857160931892
83.5,-0.01273565252930794
84.0,-0.01147597308209002
84.5,-0.009918962736630713
85.0,-0.008144747831128426
85.5,-0.006234280565634123
86.0,-0.004266421292210732
86.5,-0.0023153420602908875
87.0,-0.00044831553104739184
87.5,0.0012760656259552749
88.0,0.002809212719682577
88.5,0.004113400564513231
89.0,0.005162171719289136
89.5,0.005940309860295825
90.0,0.006443419805800196
90.5,0.006677162373250076
91.0,0.006656200312103393
91.5,0.006402916952260615
92.0,0.0059459719763609855
92.5,0.005318758989387431
93.0,0.0045578275243172905
93.5,0.0037013280548618775
94.0,0.0027875328016581224
94.5,0.001853477966061577
95.0,0.0009337648740741492
95.5,5.9548733848526495e-05
96.0,-0.0007422653338399236
96.5,-0.0014496083007995476
97.0,-0.00204561316352193
97.5,-0.0025187666211393877
98.0,-0.0028628593673843323
98.5,-0.0030767538619241985
99.0,-0.0031639932697391285
99.5,-0.003132278836563858
100.0,-0.0029928452834652826
100.5,-0.002759764880255082
101.0,-0.0024492107630105097
101.5,-0.0020787088983009816
102.0,-0.0016664059975557625
102.5,-0.0012303778028169825
103.0,-0.000787998667995719
103.5,-0.0003553894230376851
104.0,5.304369185286191e-05
104.5,0.0004249705283140622
105.0,0.0007503947023282222
105.5,0.0010218071897646912
106.0,0.001234239283287945
106.5,0.0013852216003635714
107.0,0.0014746585714920431
107.5,0.0015046300124209675
108.0,0.0014791329652248044
108.5,0.001403777975637101
109.0,0.0012854543741530353
109.5,0.0011319789815956987
110.0,0.0009517420177057647
110.5,0.0007533629186198485
111.0,0.0005453673401779402
111.5,0.0003358949194662996
112.0,0.00013244547028860623
112.5,-5.833071750327175e-05
113.0,-0.00023079483981101507
113.5,-0.00038043215615649447
114.0,-0.0005039154172878858
114.5,-0.0005991210869965914
115.0,-0.0006651017995460542
115.5,-0.0007020197426276895
116.0,-0.0007110466329849042
116.5,-0.0006942366464958174
117.0,-0.0006543790760639978
117.5,-0.000594837628756287
118.0,-0.0005193831565998837
118.5,-0.0004320262691421386
119.0,-0.00033685573193359565
119.5,-0.00023788784948846223
120.0,-0.0001389312026111679
120.5,-4.347019785905795e-05
121.0,4.543006944507091e-05
121.5,0.0001251961003340926
122.0,0.0001937948226009642
122.5,0.0002497592407555531
123.0,0.00029219197274909885
123.5,0.0003207484286165487
124.0,0.0003356019538587746
124.5,0.00033739369800973103
125.0,0.0003271702720509286
125.5,0.00030631242790085016
126.0,0.00027645803450064663
126.5,0.00023942254752557928
127.0,0.00019711998621568452
127.5,0.0001514871568388691
128.0,0.00010441351508447593
128.5,5.7678657783441294e-05
129.0,1.289899650635786e-05
129.5,-2.8515289693553966e-05
130.0,-6.539238036056278e-05
130.5,-9.681981564076734e-05
131.0,-0.00012215458025983372
131.5,-0.00014102284247216344
132.0,-0.00015331023654157746
132.5,-0.00015914383476568474
133.0,-0.0001588671502750439
133.5,-0.00015300964324143468
134.0,-0.00014225227148573593
134.5,-0.00012739063477729264
135.0,-0.0001092972151543308
135.5,-8.8884119733206e-05
136.0,-6.706759519384346e-05
136.5,-4.473541290058415e-05
137.0,-2.2718029077389603e-05
137.5,-1.764214681213443e-06
138.0,1.747836684055151e-05
138.5,3.4477370585982754e-05
139.0,4.882471259795431e-05
139.5,6.024037659358448e-05
140.0,6.857138752936478e-05
140.5,7.378639898564085e-05
141.0,7.596645780189577e-05
141.5,7.529259611030849e-05
142.0,7.203095737154216e-05
142.5,6.651618977761948e-05
143.0,5.913383906255111e-05
143.5,5.030244576974962e-05
144.0,4.045600249972596e-05
144.5,3.002735825927034e-05
145.0,1.943307378341264e-05
145.5,9.060137772797925e-06
146.0,-7.451463887336469e-07
146.5,-9.685896596852666e-06
147.0,-1.7520905150199837e-05
147.5,-2.406839989285118e-05
148.0,-2.9207392752134827e-05
148.5,-3.287677329230882e-05
149.0,-3.5072370862526404e-05
149.5,-3.5842261475736964e-05
150.0,-3.528063388000477e-05
150.5,-3.3520553287669035e-05
151.0,-3.072597127100002e-05
151.5,-2.7083327256378095e-05
152.0,-2.279307206774013e-05
152.5,-1.8061418619392425e-05
153.0,-1.3092590930320198e-05
153.5,-8.081802036637595e-06
154.0,-3.2091460996521116e-06
154.5,1.3654579157482958e-06
155.0,5.50618234298048e-06
155.5,9.104025716181966e-06
156.0,1.2078370581543276e-05
156.5,1.437740941534033e-05
157.0,1.5977519873874218e-05
157.5,1.6881700676853892e-05
158.0,1.711720305430671e-05
158.5,1.6732509541536482e-05
159.0,1.5793821982291327e-05
159.5,1.4381224122771598e-05
160.0,1.2584681588608831e-05
160.5,1.0500033916013389e-05
161.0,8.225120437838867e-06
161.5,5.856165071598708e-06
162.0,3.484525301341053e-06
162.5,1.1938888647762398e-06
163.0,-9.420211893565042e-07
163.5,-2.8611954847819054e-06
164.0,-4.514526159082027e-06
164.5,-5.866439439108443e-06
165.0,-6.894997870892745e-06
165.5,-7.591513693368518e-06
