L_over_rs,posterior,delta_f_over_f,delta_tau_over_tau
0.0,12.418117079609743,0.0018428446381545543,0.0035453965096147915
0.0005,12.419148390747583,0.0018473125649140297,0.0035688467343725047
0.001,12.420179557292839,0.0018517804916736533,0.0035922980550962473
0.0015,12.421210579180588,0.0018562484184331284,0.003615750471862738
0.002,12.422241456345997,0.0018607163451927523,0.003639203984749328
0.0025,12.423272188724136,0.0018651842719522274,0.0036626585938325774
0.003,12.424302776250135,0.0018696521987117028,0.0036861142991893633
0.0035,12.425333218859116,0.0018741201254713264,0.003709571100896562
0.004,12.426363516486147,0.0018785880522308018,0.0037330289990308934
0.0045000000000000005,12.427393669066365,0.0018830559789904254,0.0037564879936692335
0.005,12.428423676534837,0.0018875239057499005,0.003779948084888775
0.0055,12.429453538826673,0.0018919918325093759,0.0038034092727662365
0.006,12.43048325587698,0.0018964597592689995,0.0038268715573784953
0.006500000000000001,12.431512827620814,0.0019009276860284749,0.003850334938802428
0.007,12.432542253993294,0.0019053956127880985,0.0038737994171149114
0.0075,12.43357153492947,0.0019098635395475739,0.0038972649923929795
0.008,12.43460067036444,0.001914331466307049,0.003920731664713668
0.0085,12.435629660233293,0.0019187993930666726,0.0039441994341536946
0.009000000000000001,12.436658504471065,0.001923267319826148,0.003967668300789937
0.0095,12.437687203012873,0.0019277352465857716,0.003991138264699588
0.01,12.438715755793737,0.001932203173345247,0.004014609325959365
0.0105,12.439744162748744,0.001936671100104722,0.004038081484646304
0.011,12.440772423812975,0.001941139026864346,0.004061554740837596
0.0115,12.44180053892145,0.001945606953623821,0.004085029094609962
0.012,12.442828508009264,0.0019500748803834447,0.004108504546040594
0.0125,12.443856331011427,0.00195454280714292,0.004131981095206208
0.013000000000000001,12.444884007863005,0.001959010733902395,0.004155458742183843
0.0135,12.445911538499072,0.001963478660662019,0.004178937487050846
0.014,12.446938922854626,0.001967946587421494,0.004202417329883938
0.0145,12.447966160864748,0.001972414514181118,0.004225898270760152
0.015,12.448993252464435,0.001976882440940593,0.004249380309756523
0.0155,12.45002019758874,0.0019813503677000685,0.004272863446950087
0.016,12.451046996172717,0.001985818294459692,0.004296347682418035
0.0165,12.452073648151353,0.0019902862212191675,0.0043198330162372445
0.017,12.453100153459713,0.001994754147978791,0.004343319448484907
0.0175,12.454126512032783,0.0019992220747382665,0.004366806979238059
0.018000000000000002,12.455152723805595,0.002003690001497742,0.004390295608573575
0.0185,12.456178788713185,0.0020081579282573655,0.004413785336568649
0.019,12.457204706690533,0.0020126258550168404,0.004437276163300473
0.0195,12.458230477672688,0.002017093781776464,0.004460768088846082
0.02,12.459256101594615,0.0020215617085359394,0.00448426111328251
0.0205,12.460281578391344,0.0020260296352954147,0.004507755236687108
0.021,12.46130690799788,0.0020304975620550384,0.004531250459136436
0.021500000000000002,12.462332090349202,0.0020349654888145137,0.004554746780708161
0.022,12.463357125380334,0.0020394334155741374,0.004578244201479159
0.0225,12.464382013026237,0.0020439013423336127,0.004601742721526782
0.023,12.465406753221913,0.002048369269093088,0.004625242340927905
0.0235,12.466431345902372,0.0020528371958527117,0.004648743059759879
0.024,12.467455791002553,0.002057305122612187,0.004672244878099581
0.0245,12.468480088457484,0.0020617730493718107,0.004695747796024518
0.025,12.469504238202102,0.0020662409761312856,0.004719251813611569
0.025500000000000002,12.470528240171404,0.002070708902890761,0.00474275693093824
0.026000000000000002,12.471552094300378,0.0020751768296503846,0.004766263148081566
0.0265,12.47257580052395,0.00207964475640986,0.004789770465118424
0.027,12.473599358777136,0.0020841126831694836,0.004813278882126481
0.0275,12.474622768994857,0.002088580609928959,0.004836788399182772
0.028,12.475646031112092,0.0020930485366884343,0.004860299016364486
0.0285,12.476669145063816,0.002097516463448058,0.00488381073374882
0.029,12.47769211078495,0.0021019843902075333,0.004907323551413121
0.029500000000000002,12.478714928210483,0.002106452316967157,0.004930837469434426
0.03,12.479737597275323,0.0021109202437266323,0.004954352487890083
0.0305,12.480760117914441,0.002115388170486107,0.0049778686068574435
0.031,12.4817824900628,0.0021198560972457313,0.005001385826413858
0.0315,12.482804713655298,0.002124324024005206,0.005024904146636203
